time_ns,n,split,node1_consumers,node2_consumers
529237654,10000,1000,1,1
282763423,10000,1000,1,1
129915214,10000,1000,1,1
90697322,10000,1000,1,1
51417452,10000,1000,1,1
23438283,10000,1000,1,1
118335816,10000,1000,1,1
237377853,10000,1000,1,1
59138104,10000,1000,1,1
59252189,10000,1000,1,1
51353897,10000,1000,1,1
25853799,10000,1000,1,1
119348762,10000,1000,2,2
136119605,10000,1000,2,2
62287867,10000,1000,2,2
67792355,10000,1000,2,2
20982502,10000,1000,2,2
36926329,10000,1000,2,2
221693774,30000,1000,1,1
297491006,30000,1000,1,1
112341830,30000,1000,1,1
167295909,30000,1000,1,1
102093553,30000,1000,1,1
42858339,30000,1000,1,1
207574512,30000,1000,1,1
203508124,30000,1000,1,1
91698030,30000,1000,1,1
157784642,30000,1000,1,1
100613215,30000,1000,1,1
34736220,30000,1000,1,1
212700428,30000,1000,2,2
199526213,30000,1000,2,2
119656277,30000,1000,2,2
74430978,30000,1000,2,2
94731340,30000,1000,2,2
48193080,30000,1000,2,2
365023610,90000,1000,1,1
317636229,90000,1000,1,1
138217737,90000,1000,1,1
159603285,90000,1000,1,1
53086090,90000,1000,1,1
92993622,90000,1000,1,1
368067974,90000,1000,1,1
265600587,90000,1000,1,1
110800701,90000,1000,1,1
152584117,90000,1000,1,1
78373413,90000,1000,1,1
111378229,90000,1000,1,1
333847701,90000,1000,2,2
250157705,90000,1000,2,2
135994862,90000,1000,2,2
132387970,90000,1000,2,2
75898683,90000,1000,2,2
43065190,90000,1000,2,2
1008945187,270000,1000,1,1
236379118,270000,1000,1,1
180476834,270000,1000,1,1
154429209,270000,1000,1,1
101428782,270000,1000,1,1
78829752,270000,1000,1,1
1177042057,270000,1000,1,1
262960059,270000,1000,1,1
184878766,270000,1000,1,1
143723408,270000,1000,1,1
119940503,270000,1000,1,1
69509547,270000,1000,1,1
1171078072,270000,1000,2,2
184656913,270000,1000,2,2
147296746,270000,1000,2,2
139803475,270000,1000,2,2
51748259,270000,1000,2,2
81923854,270000,1000,2,2
119894711,10000,2500,1,1
87491108,10000,2500,1,1
49796187,10000,2500,1,1
33146535,10000,2500,1,1
18609225,10000,2500,1,1
28550777,10000,2500,1,1
85918792,10000,2500,1,1
75070879,10000,2500,1,1
48350983,10000,2500,1,1
32353863,10000,2500,1,1
23251169,10000,2500,1,1
16273054,10000,2500,1,1
81496728,10000,2500,2,2
61747446,10000,2500,2,2
41633804,10000,2500,2,2
27865875,10000,2500,2,2
26677657,10000,2500,2,2
22669297,10000,2500,2,2
215051599,30000,2500,1,1
184127149,30000,2500,1,1
98423499,30000,2500,1,1
88667877,30000,2500,1,1
46519312,30000,2500,1,1
23847646,30000,2500,1,1
154082613,30000,2500,1,1
154283544,30000,2500,1,1
86137882,30000,2500,1,1
44527369,30000,2500,1,1
51531143,30000,2500,1,1
24369514,30000,2500,1,1
175009455,30000,2500,2,2
162803973,30000,2500,2,2
83426298,30000,2500,2,2
91057340,30000,2500,2,2
45155033,30000,2500,2,2
27170708,30000,2500,2,2
352490481,90000,2500,1,1
219259310,90000,2500,1,1
114432462,90000,2500,1,1
95309264,90000,2500,1,1
51820104,90000,2500,1,1
49608677,90000,2500,1,1
378009527,90000,2500,1,1
206932638,90000,2500,1,1
112272748,90000,2500,1,1
100967706,90000,2500,1,1
60132102,90000,2500,1,1
34121583,90000,2500,1,1
420698909,90000,2500,2,2
169922225,90000,2500,2,2
98082035,90000,2500,2,2
