time_ns,n,split,node1_consumers,node2_consumers
476593315,10000,1000,1,1
65815361,10000,1000,1,1
38488746,10000,1000,1,1
19398328,10000,1000,1,1
13072357,10000,1000,1,1
6669804,10000,1000,1,1
74223673,10000,1000,1,1
40715567,10000,1000,1,1
25749564,10000,1000,1,1
16307386,10000,1000,1,1
9588632,10000,1000,1,1
6586115,10000,1000,1,1
49795358,10000,1000,2,2
36257978,10000,1000,2,2
20221000,10000,1000,2,2
14913895,10000,1000,2,2
7402472,10000,1000,2,2
6540718,10000,1000,2,2
148354971,30000,1000,1,1
87738946,30000,1000,1,1
55441559,30000,1000,1,1
35404120,30000,1000,1,1
24402654,30000,1000,1,1
14368342,30000,1000,1,1
150500077,30000,1000,1,1
85850826,30000,1000,1,1
73915762,30000,1000,1,1
51370831,30000,1000,1,1
31813021,30000,1000,1,1
17952730,30000,1000,1,1
112727024,30000,1000,2,2
62524277,30000,1000,2,2
40410815,30000,1000,2,2
27016336,30000,1000,2,2
18246823,30000,1000,2,2
10836063,30000,1000,2,2
1316318281,90000,1000,1,1
112061070,90000,1000,1,1
71349451,90000,1000,1,1
46196365,90000,1000,1,1
30988770,90000,1000,1,1
21758577,90000,1000,1,1
322783996,90000,1000,1,1
113780629,90000,1000,1,1
75129243,90000,1000,1,1
48623327,90000,1000,1,1
35095025,90000,1000,1,1
21218155,90000,1000,1,1
251150715,90000,1000,2,2
93738848,90000,1000,2,2
50927124,90000,1000,2,2
38769023,90000,1000,2,2
26303012,90000,1000,2,2
17556395,90000,1000,2,2
832374207,270000,1000,1,1
172849999,270000,1000,1,1
118767191,270000,1000,1,1
70511384,270000,1000,1,1
50258013,270000,1000,1,1
31467215,270000,1000,1,1
829248921,270000,1000,1,1
128605704,270000,1000,1,1
85577655,270000,1000,1,1
55168782,270000,1000,1,1
39048906,270000,1000,1,1
23124433,270000,1000,1,1
911346008,270000,1000,2,2
94910880,270000,1000,2,2
56493190,270000,1000,2,2
46590726,270000,1000,2,2
25117163,270000,1000,2,2
17191245,270000,1000,2,2
65054666,10000,2500,1,1
34128662,10000,2500,1,1
19909933,10000,2500,1,1
13228286,10000,2500,1,1
9031237,10000,2500,1,1
8024608,10000,2500,1,1
51094107,10000,2500,1,1
31602616,10000,2500,1,1
18752506,10000,2500,1,1
12360611,10000,2500,1,1
8766355,10000,2500,1,1
6145962,10000,2500,1,1
41131246,10000,2500,2,2
24654509,10000,2500,2,2
14239652,10000,2500,2,2
13273289,10000,2500,2,2
9495470,10000,2500,2,2
6518217,10000,2500,2,2
157166723,30000,2500,1,1
89194413,30000,2500,1,1
54212682,30000,2500,1,1
31169568,30000,2500,1,1
18496309,30000,2500,1,1
11718737,30000,2500,1,1
158185984,30000,2500,1,1
89265074,30000,2500,1,1
61094075,30000,2500,1,1
33304806,30000,2500,1,1
21624754,30000,2500,1,1
15667091,30000,2500,1,1
98162488,30000,2500,2,2
56607274,30000,2500,2,2
34500522,30000,2500,2,2
23347471,30000,2500,2,2
13219207,30000,2500,2,2
12487723,30000,2500,2,2
311304086,90000,2500,1,1
108566293,90000,2500,1,1
71613543,90000,2500,1,1
42580396,90000,2500,1,1
26663819,90000,2500,1,1
16718722,90000,2500,1,1
312692444,90000,2500,1,1
107293992,90000,2500,1,1
65786939,90000,2500,1,1
41669298,90000,2500,1,1
25975364,90000,2500,1,1
16835964,90000,2500,1,1
242592002,90000,2500,2,2
92508393,90000,2500,2,2
50452233,90000,2500,2,2
33493893,90000,2500,2,2
21756997,90000,2500,2,2
13283157,90000,2500,2,2
706501006,270000,2500,1,1
124646299,270000,2500,1,1
81711411,270000,2500,1,1
50719088,270000,2500,1,1
31134830,270000,2500,1,1
18494730,270000,2500,1,1
797962110,270000,2500,1,1
160355170,270000,2500,1,1
113316791,270000,2500,1,1
50415520,270000,2500,1,1
29495801,270000,2500,1,1
18970018,270000,2500,1,1
712671443,270000,2500,2,2
120798213,270000,2500,2,2
58294068,270000,2500,2,2
35971385,270000,2500,2,2
26231956,270000,2500,2,2
14994821,270000,2500,2,2
71401558,10000,7500,1,1
32921102,10000,7500,1,1
11552150,10000,7500,1,1
14221887,10000,7500,1,1
11022388,10000,7500,1,1
7672090,10000,7500,1,1
39198124,10000,7500,1,1
26623949,10000,7500,1,1
10470123,10000,7500,1,1
7256411,10000,7500,1,1
5837657,10000,7500,1,1
4201787,10000,7500,1,1
47075092,10000,7500,2,2
56602142,10000,7500,2,2
