time_ns,n,partition_ancestors,node1_consumers,node2_consumers,chunks
8163269390,900000,3,1,1,5000
6349665996,900000,3,1,1,5000
5637646523,900000,3,1,1,5000
6154154459,900000,3,1,1,5000
6157819775,900000,3,1,1,5000
5218441769,900000,3,1,1,5000
7021933865,900000,3,1,0,5000
8263169281,900000,3,1,0,5000
8087416894,900000,3,1,0,5000
8361916480,900000,3,1,0,5000
7757245956,900000,3,1,0,5000
8178437127,900000,3,1,0,5000
6143891969,900000,3,0,1,5000
6395478694,900000,3,0,1,5000
6718802577,900000,3,0,1,5000
6494624203,900000,3,0,1,5000
6693924615,900000,3,0,1,5000
6443458605,900000,3,0,1,5000
4567889465,900000,3,1,1,20000
7080278509,900000,3,1,1,20000
6937835691,900000,3,1,1,20000
7002025497,900000,3,1,1,20000
6696261970,900000,3,1,1,20000
5900295909,900000,3,1,1,20000
6872597018,900000,3,1,0,20000
8011875860,900000,3,1,0,20000
8909186225,900000,3,1,0,20000
8120403946,900000,3,1,0,20000
8074881790,900000,3,1,0,20000
8326331928,900000,3,1,0,20000
5346483073,900000,3,0,1,20000
