time_ns,n,partition_ancestors,node1_consumers,node2_consumers,chunks
37439031014,4000000,3,2,2,40000
32496040985,4000000,3,2,2,40000
38609086272,4000000,3,2,2,40000
36149535806,4000000,3,2,2,40000
30428517460,4000000,3,2,2,40000
30468999757,4000000,3,2,2,40000
32828689021,4000000,3,1,1,40000
32935334907,4000000,3,1,1,40000
32906246077,4000000,3,1,1,40000
33005227368,4000000,3,1,1,40000
36112140111,4000000,3,1,1,40000
37708361657,4000000,3,1,1,40000
34957736560,4000000,3,1,2,40000
30620096037,4000000,3,1,2,40000
37371936195,4000000,3,1,2,40000
34105085809,4000000,3,1,2,40000
32046895120,4000000,3,1,2,40000
30934354726,4000000,3,1,2,40000
34820040692,4000000,3,2,1,40000
35513611605,4000000,3,2,1,40000
38256642374,4000000,3,2,1,40000
36365492582,4000000,3,2,1,40000
35597718860,4000000,3,2,1,40000
37762504510,4000000,3,2,1,40000
23375760597,3000000,3,2,2,40000
23078138532,3000000,3,2,2,40000
24485254259,3000000,3,2,2,40000
21296144095,3000000,3,2,2,40000
19887043139,3000000,3,2,2,40000
27280036049,3000000,3,2,2,40000
22797840760,3000000,3,1,1,40000
23842007322,3000000,3,1,1,40000
26899879836,3000000,3,1,1,40000
20560418300,3000000,3,1,1,40000
23660372272,3000000,3,1,1,40000
23288139614,3000000,3,1,1,40000
19862880477,3000000,3,1,2,40000
21709382103,3000000,3,1,2,40000
22307366633,3000000,3,1,2,40000
26782748422,3000000,3,1,2,40000
