time_ns,n,split,node1_consumers,node2_consumers
978053502,90000,7500,1,0
368877620,90000,7500,1,0
123106056,90000,7500,1,0
78318937,90000,7500,1,0
61152152,90000,7500,1,0
60916483,90000,7500,1,0
23307224,90000,7500,1,0
16003831,90000,7500,1,0
12750641,90000,7500,1,0
11434917,90000,7500,1,0
11631111,90000,7500,1,0
12058237,90000,7500,1,0
10327624,90000,7500,1,0
17331397,90000,7500,1,0
8744650,90000,7500,1,0
19242415,90000,7500,1,0
7600645,90000,7500,1,0
6565988,90000,7500,1,0
6838765,90000,7500,1,0
6638229,90000,7500,1,0
7038117,90000,7500,1,0
6333081,90000,7500,1,0
9068745,90000,7500,1,0
6148730,90000,7500,1,0
6683626,90000,7500,1,0
7093383,90000,7500,1,0
6337818,90000,7500,1,0
6087937,90000,7500,1,0
8689384,90000,7500,1,0
11218591,90000,7500,1,0
6947323,90000,7500,1,0
1600033712,90000,7500,0,1
402559839,90000,7500,0,1
185549063,90000,7500,0,1
133003790,90000,7500,0,1
71591493,90000,7500,0,1
44884230,90000,7500,0,1
33625374,90000,7500,0,1
21828071,90000,7500,0,1
23362096,90000,7500,0,1
25828140,90000,7500,0,1
20735779,90000,7500,0,1
19888631,90000,7500,0,1
17177442,90000,7500,0,1
15431039,90000,7500,0,1
8924659,90000,7500,0,1
7769996,90000,7500,0,1
14853904,90000,7500,0,1
14971937,90000,7500,0,1
11363861,90000,7500,0,1
11047266,90000,7500,0,1
12668136,90000,7500,0,1
13400410,90000,7500,0,1
7547353,90000,7500,0,1
10510397,90000,7500,0,1
16175550,90000,7500,0,1
17251262,90000,7500,0,1
15236029,90000,7500,0,1
7589986,90000,7500,0,1
9896944,90000,7500,0,1
13272904,90000,7500,0,1
15941459,90000,7500,0,1
426953434,90000,7500,1,1
157700164,90000,7500,1,1
159074312,90000,7500,1,1
109997371,90000,7500,1,1
84999404,90000,7500,1,1
63851499,90000,7500,1,1
33117718,90000,7500,1,1
35127423,90000,7500,1,1
27556385,90000,7500,1,1
17758919,90000,7500,1,1
16966248,90000,7500,1,1
11760591,90000,7500,1,1
14779690,90000,7500,1,1
45420310,90000,7500,1,1
24336750,90000,7500,1,1
10162616,90000,7500,1,1
