time_ns,n,partition_ancestors,node1_consumers,node2_consumers,chunks
6057834617,900000,2,2,2,20000
9689311095,900000,2,2,2,20000
8635818011,900000,2,2,2,20000
9314639630,900000,2,2,2,20000
8138205104,900000,2,2,2,20000
6397670778,900000,2,2,2,20000
4609577350,900000,2,1,2,20000
6399186643,900000,2,1,2,20000
5819324208,900000,2,1,2,20000
7782746054,900000,2,1,2,20000
6279271406,900000,2,1,2,20000
6571651102,900000,2,1,2,20000
6664209307,900000,2,2,1,20000
8463319999,900000,2,2,1,20000
6498558349,900000,2,2,1,20000
8904958776,900000,2,2,1,20000
9220945316,900000,2,2,1,20000
5869869643,900000,2,2,1,20000
4849326111,900000,2,1,1,20000
9778036212,900000,2,1,1,20000
8204442908,900000,2,1,1,20000
8269518942,900000,2,1,1,20000
9077798647,900000,2,1,1,20000
8397746176,900000,2,1,1,20000
5351406874,900000,2,0,1,20000
7068287774,900000,2,0,1,20000
6600724536,900000,2,0,1,20000
6370450331,900000,2,0,1,20000
7034947415,900000,2,0,1,20000
6686117907,900000,2,0,1,20000
8101216009,900000,2,1,0,20000
10444396942,900000,2,1,0,20000
9620680671,900000,2,1,0,20000
9526614496,900000,2,1,0,20000
10633184984,900000,2,1,0,20000
9876280097,900000,2,1,0,20000
6072870899,900000,2,2,2,40000
8789862727,900000,2,2,2,40000
6511258461,900000,2,2,2,40000
6290778958,900000,2,2,2,40000
6095174258,900000,2,2,2,40000
5882262240,900000,2,2,2,40000
4330451214,900000,2,1,2,40000
6274398134,900000,2,1,2,40000
5669313905,900000,2,1,2,40000
8030905106,900000,2,1,2,40000
6109417474,900000,2,1,2,40000
6460141023,900000,2,1,2,40000
7137908643,900000,2,2,1,40000
8950667652,900000,2,2,1,40000
8415385484,900000,2,2,1,40000
6259249741,900000,2,2,1,40000
9434932256,900000,2,2,1,40000
8769473544,900000,2,2,1,40000
5968380384,900000,2,1,1,40000
7892661710,900000,2,1,1,40000
9044320122,900000,2,1,1,40000
7921325783,900000,2,1,1,40000
7795316291,900000,2,1,1,40000
8341477164,900000,2,1,1,40000
5848293033,900000,2,0,1,40000
6495192653,900000,2,0,1,40000
6366023134,900000,2,0,1,40000
6684014249,900000,2,0,1,40000
6763233626,900000,2,0,1,40000
6348638050,900000,2,0,1,40000
9417735075,900000,2,1,0,40000
9543150853,900000,2,1,0,40000
9565447895,900000,2,1,0,40000
9561173075,900000,2,1,0,40000
10740050355,900000,2,1,0,40000
9387878443,900000,2,1,0,40000
3793888851,600000,2,2,2,20000
5324511311,600000,2,2,2,20000
5440790445,600000,2,2,2,20000
5049737763,600000,2,2,2,20000
5734067818,600000,2,2,2,20000
5195813921,600000,2,2,2,20000
2983959852,600000,2,1,2,20000
3737167447,600000,2,1,2,20000
3815868508,600000,2,1,2,20000
4938662707,600000,2,1,2,20000
3988659825,600000,2,1,2,20000
4381757741,600000,2,1,2,20000
4565454211,600000,2,2,1,20000
5417054910,600000,2,2,1,20000
5345229326,600000,2,2,1,20000
4019397159,600000,2,2,1,20000
5681743609,600000,2,2,1,20000
4969994149,600000,2,2,1,20000
3322571477,600000,2,1,1,20000
5772022094,600000,2,1,1,20000
5410881705,600000,2,1,1,20000
4931763149,600000,2,1,1,20000
5516649258,600000,2,1,1,20000
5548693631,600000,2,1,1,20000
3452984084,600000,2,0,1,20000
4248075758,600000,2,0,1,20000
4569650080,600000,2,0,1,20000
4034210798,600000,2,0,1,20000
4027391771,600000,2,0,1,20000
4257972309,600000,2,0,1,20000
5554266412,600000,2,1,0,20000
6303851720,600000,2,1,0,20000
6645435863,600000,2,1,0,20000
6024092790,600000,2,1,0,20000
6225981227,600000,2,1,0,20000
6374940293,600000,2,1,0,20000
3899779173,600000,2,2,2,40000
5102241981,600000,2,2,2,40000
5229410873,600000,2,2,2,40000
5824692899,600000,2,2,2,40000
5200776802,600000,2,2,2,40000
3875505190,600000,2,2,2,40000
2835429886,600000,2,1,2,40000
3961283054,600000,2,1,2,40000
4005505277,600000,2,1,2,40000
5199938734,600000,2,1,2,40000
4099072479,600000,2,1,2,40000
4342544191,600000,2,1,2,40000
4248253793,600000,2,2,1,40000
5488372836,600000,2,2,1,40000
3848542914,600000,2,2,1,40000
5524096343,600000,2,2,1,40000
5608382421,600000,2,2,1,40000
3841824155,600000,2,2,1,40000
3166155062,600000,2,1,1,40000
6108884946,600000,2,1,1,40000
5297768519,600000,2,1,1,40000
4999379837,600000,2,1,1,40000
5238805293,600000,2,1,1,40000
5009411789,600000,2,1,1,40000
3674187176,600000,2,0,1,40000
4080184162,600000,2,0,1,40000
4015242345,600000,2,0,1,40000
3943854942,600000,2,0,1,40000
4587770201,600000,2,0,1,40000
4131842811,600000,2,0,1,40000
5267847147,600000,2,1,0,40000
6073616990,600000,2,1,0,40000
6701961073,600000,2,1,0,40000
6225711213,600000,2,1,0,40000
6064624433,600000,2,1,0,40000
6146487495,600000,2,1,0,40000
2015438539,300000,2,2,2,20000
2451950216,300000,2,2,2,20000
2519900079,300000,2,2,2,20000
2385204361,300000,2,2,2,20000
2325637552,300000,2,2,2,20000
2310193486,300000,2,2,2,20000
1452771705,300000,2,1,2,20000
1822459761,300000,2,1,2,20000
1720559639,300000,2,1,2,20000
2300648269,300000,2,1,2,20000
1835440544,300000,2,1,2,20000
1665253833,300000,2,1,2,20000
2074114778,300000,2,2,1,20000
2584940980,300000,2,2,1,20000
2075212202,300000,2,2,1,20000
2506031882,300000,2,2,1,20000
2517073621,300000,2,2,1,20000
2555545029,300000,2,2,1,20000
1628009329,300000,2,1,1,20000
2491134554,300000,2,1,1,20000
2382942800,300000,2,1,1,20000
2501996285,300000,2,1,1,20000
2342566298,300000,2,1,1,20000
2707514904,300000,2,1,1,20000
1786247941,300000,2,0,1,20000
2001230061,300000,2,0,1,20000
1916434353,300000,2,0,1,20000
1996906686,300000,2,0,1,20000
1849669549,300000,2,0,1,20000
1972526119,300000,2,0,1,20000
