time_ns,n,split,node1_consumers,node2_consumers
109245668,10000,1000,1,1
69789769,10000,1000,1,1
38336370,10000,1000,1,1
21914900,10000,1000,1,1
12304951,10000,1000,1,1
8953469,10000,1000,1,1
67171744,10000,1000,1,1
41404023,10000,1000,1,1
27670053,10000,1000,1,1
16689905,10000,1000,1,1
10154318,10000,1000,1,1
6984030,10000,1000,1,1
57966026,10000,1000,2,2
34186692,10000,1000,2,2
20254555,10000,1000,2,2
16256068,10000,1000,2,2
7938946,10000,1000,2,2
7714724,10000,1000,2,2
196943560,30000,1000,1,1
87806844,30000,1000,1,1
56544113,30000,1000,1,1
37049465,30000,1000,1,1
25785091,30000,1000,1,1
15560901,30000,1000,1,1
166983129,30000,1000,1,1
101639108,30000,1000,1,1
95623810,30000,1000,1,1
60923146,30000,1000,1,1
37376323,30000,1000,1,1
19582285,30000,1000,1,1
108066531,30000,1000,2,2
64762547,30000,1000,2,2
36197580,30000,1000,2,2
27493992,30000,1000,2,2
16217382,30000,1000,2,2
10020891,30000,1000,2,2
356740150,90000,1000,1,1
119416171,90000,1000,1,1
72793076,90000,1000,1,1
48086853,90000,1000,1,1
31872630,90000,1000,1,1
20647338,90000,1000,1,1
322123963,90000,1000,1,1
114733176,90000,1000,1,1
75629400,90000,1000,1,1
50087478,90000,1000,1,1
33598110,90000,1000,1,1
23006796,90000,1000,1,1
273768676,90000,1000,2,2
88198048,90000,1000,2,2
59903490,90000,1000,2,2
34995547,90000,1000,2,2
26590395,90000,1000,2,2
15657616,90000,1000,2,2
874781700,270000,1000,1,1
160861642,270000,1000,1,1
84627081,270000,1000,1,1
54162548,270000,1000,1,1
36995777,270000,1000,1,1
22954293,270000,1000,1,1
858668139,270000,1000,1,1
140399051,270000,1000,1,1
102552179,270000,1000,1,1
57335205,270000,1000,1,1
34933965,270000,1000,1,1
22707966,270000,1000,1,1
660129369,270000,1000,2,2
92026789,270000,1000,2,2
60946436,270000,1000,2,2
40317652,270000,1000,2,2
26402096,270000,1000,2,2
17239405,270000,1000,2,2
59026736,10000,2500,1,1
33140587,10000,2500,1,1
20382061,10000,2500,1,1
16750697,10000,2500,1,1
9759957,10000,2500,1,1
6951265,10000,2500,1,1
59963888,10000,2500,1,1
32343969,10000,2500,1,1
19296875,10000,2500,1,1
12526014,10000,2500,1,1
8973601,10000,2500,1,1
6833233,10000,2500,1,1
48731490,10000,2500,2,2
28009149,10000,2500,2,2
22331368,10000,2500,2,2
15163776,10000,2500,2,2
9616265,10000,2500,2,2
7533531,10000,2500,2,2
168881513,30000,2500,1,1
85174608,30000,2500,1,1
47555511,30000,2500,1,1
29936744,30000,2500,1,1
19099498,30000,2500,1,1
12496013,30000,2500,1,1
142587975,30000,2500,1,1
76814852,30000,2500,1,1
51999283,30000,2500,1,1
29275527,30000,2500,1,1
18302879,30000,2500,1,1
14112540,30000,2500,1,1
105266129,30000,2500,2,2
55980796,30000,2500,2,2
36038098,30000,2500,2,2
22702834,30000,2500,2,2
13670018,30000,2500,2,2
12379560,30000,2500,2,2
344792848,90000,2500,1,1
185594314,90000,2500,1,1
72935187,90000,2500,1,1
43694793,90000,2500,1,1
27885196,90000,2500,1,1
17191640,90000,2500,1,1
295383956,90000,2500,1,1
107969421,90000,2500,1,1
69456989,90000,2500,1,1
44813927,90000,2500,1,1
25775223,90000,2500,1,1
18082605,90000,2500,1,1
233795646,90000,2500,2,2
94327825,90000,2500,2,2
50893176,90000,2500,2,2
31277337,90000,2500,2,2
21640939,90000,2500,2,2
12621940,90000,2500,2,2
755330791,270000,2500,1,1
122384344,270000,2500,1,1
78255714,270000,2500,1,1
52290613,270000,2500,1,1
67855462,270000,2500,1,1
20699445,270000,2500,1,1
721647808,270000,2500,1,1
130169335,270000,2500,1,1
75829936,270000,2500,1,1
48437397,270000,2500,1,1
31110749,270000,2500,1,1
18713820,270000,2500,1,1
759113741,270000,2500,2,2
106393553,270000,2500,2,2
69063022,270000,2500,2,2
48156725,270000,2500,2,2
25170850,270000,2500,2,2
14005956,270000,2500,2,2
96815974,10000,7500,1,1
35285693,10000,7500,1,1
9794695,10000,7500,1,1
8203038,10000,7500,1,1
5086436,10000,7500,1,1
4002040,10000,7500,1,1
55847368,10000,7500,1,1
32289887,10000,7500,1,1
10045366,10000,7500,1,1
7237858,10000,7500,1,1
5474876,10000,7500,1,1
4367980,10000,7500,1,1
39759467,10000,7500,2,2
29858977,10000,7500,2,2
18887514,10000,7500,2,2
23343524,10000,7500,2,2
16839912,10000,7500,2,2
8214486,10000,7500,2,2
124306018,30000,7500,1,1
69147105,30000,7500,1,1
41974051,30000,7500,1,1
43809272,30000,7500,1,1
17608108,30000,7500,1,1
12192050,30000,7500,1,1
168849143,30000,7500,1,1
66501843,30000,7500,1,1
42607240,30000,7500,1,1
26548155,30000,7500,1,1
18424465,30000,7500,1,1
13330923,30000,7500,1,1
102903512,30000,7500,2,2
47764731,30000,7500,2,2
31567089,30000,7500,2,2
27842561,30000,7500,2,2
19750056,30000,7500,2,2
13197495,30000,7500,2,2
309197665,90000,7500,1,1
100719325,90000,7500,1,1
60272587,90000,7500,1,1
37668442,90000,7500,1,1
24800569,90000,7500,1,1
16253699,90000,7500,1,1
388785682,90000,7500,1,1
118229138,90000,7500,1,1
70961406,90000,7500,1,1
43920988,90000,7500,1,1
32296992,90000,7500,1,1
18348671,90000,7500,1,1
223305784,90000,7500,2,2
74253279,90000,7500,2,2
46156889,90000,7500,2,2
27439516,90000,7500,2,2
25778380,90000,7500,2,2
16223698,90000,7500,2,2
738504300,270000,7500,1,1
124622612,270000,7500,1,1
93287641,270000,7500,1,1
51290301,270000,7500,1,1
49063875,270000,7500,1,1
20956826,270000,7500,1,1
741421154,270000,7500,1,1
115319389,270000,7500,1,1
67797039,270000,7500,1,1
44601943,270000,7500,1,1
29075386,270000,7500,1,1
18233797,270000,7500,1,1
569529624,270000,7500,2,2
88300684,270000,7500,2,2
49440472,270000,7500,2,2
32031322,270000,7500,2,2
29239604,270000,7500,2,2
19728739,270000,7500,2,2
47313131,10000,12500,1,1
28240871,10000,12500,1,1
18795929,10000,12500,1,1
12603782,10000,12500,1,1
9185191,10000,12500,1,1
6518612,10000,12500,1,1
61340798,10000,12500,1,1
