time_ns,n,split,node1_consumers,node2_consumers
1094261185,90000,7500,1,0
429128543,90000,7500,1,0
202107132,90000,7500,1,0
98024796,90000,7500,1,0
58519125,90000,7500,1,0
106822738,90000,7500,1,0
38171392,90000,7500,1,0
24167004,90000,7500,1,0
19030825,90000,7500,1,0
22160061,90000,7500,1,0
17989063,90000,7500,1,0
28062463,90000,7500,1,0
13574893,90000,7500,1,0
11142402,90000,7500,1,0
10476052,90000,7500,1,0
13844907,90000,7500,1,0
9209673,90000,7500,1,0
10759488,90000,7500,1,0
24553866,90000,7500,1,0
11950864,90000,7500,1,0
11206353,90000,7500,1,0
9666801,90000,7500,1,0
12574580,90000,7500,1,0
11677297,90000,7500,1,0
17457325,90000,7500,1,0
11207142,90000,7500,1,0
11102532,90000,7500,1,0
14821534,90000,7500,1,0
12027447,90000,7500,1,0
14839299,90000,7500,1,0
16093046,90000,7500,1,0
313285220,90000,7500,0,1
164712226,90000,7500,0,1
154118536,90000,7500,0,1
117194970,90000,7500,0,1
90715086,90000,7500,0,1
31979634,90000,7500,0,1
26966224,90000,7500,0,1
16063439,90000,7500,0,1
13584367,90000,7500,0,1
43834572,90000,7500,0,1
23258669,90000,7500,0,1
13558708,90000,7500,0,1
9064798,90000,7500,0,1
8224755,90000,7500,0,1
9414157,90000,7500,0,1
7925925,90000,7500,0,1
15183131,90000,7500,0,1
10440130,90000,7500,0,1
24405043,90000,7500,0,1
8459636,90000,7500,0,1
6942586,90000,7500,0,1
6642965,90000,7500,0,1
8458451,90000,7500,0,1
7031012,90000,7500,0,1
17532723,90000,7500,0,1
15204054,90000,7500,0,1
7869474,90000,7500,0,1
9819967,90000,7500,0,1
10400259,90000,7500,0,1
12415887,90000,7500,0,1
7727362,90000,7500,0,1
390209481,90000,7500,1,1
182373641,90000,7500,1,1
99220909,90000,7500,1,1
52085776,90000,7500,1,1
40714810,90000,7500,1,1
75068115,90000,7500,1,1
47792797,90000,7500,1,1
48318218,90000,7500,1,1
20064693,90000,7500,1,1
22267041,90000,7500,1,1
11018053,90000,7500,1,1
9831021,90000,7500,1,1
8455293,90000,7500,1,1
7387082,90000,7500,1,1
10124719,90000,7500,1,1
6753498,90000,7500,1,1
9418500,90000,7500,1,1
6650861,90000,7500,1,1
11154245,90000,7500,1,1
8877288,90000,7500,1,1
8804259,90000,7500,1,1
9112169,90000,7500,1,1
8835049,90000,7500,1,1
9038349,90000,7500,1,1
8299759,90000,7500,1,1
10509213,90000,7500,1,1
11633874,90000,7500,1,1
8671620,90000,7500,1,1
8449372,90000,7500,1,1
8254757,90000,7500,1,1
9216384,90000,7500,1,1
430029378,90000,7500,2,1
206832370,90000,7500,2,1
125664079,90000,7500,2,1
126159104,90000,7500,2,1
56380334,90000,7500,2,1
62890266,90000,7500,2,1
42606089,90000,7500,2,1
18328947,90000,7500,2,1
24242008,90000,7500,2,1
21481080,90000,7500,2,1
18090514,90000,7500,2,1
17385085,90000,7500,2,1
15507226,90000,7500,2,1
17330608,90000,7500,2,1
13118949,90000,7500,2,1
18576855,90000,7500,2,1
14803770,90000,7500,2,1
15111286,90000,7500,2,1
14958515,90000,7500,2,1
19594537,90000,7500,2,1
10642640,90000,7500,2,1
10649746,90000,7500,2,1
11257671,90000,7500,2,1
10144852,90000,7500,2,1
11410442,90000,7500,2,1
12598660,90000,7500,2,1
10637904,90000,7500,2,1
20155487,90000,7500,2,1
7152991,90000,7500,2,1
14407829,90000,7500,2,1
13544891,90000,7500,2,1
396227153,90000,7500,1,2
120883576,90000,7500,1,2
91837379,90000,7500,1,2
72382586,90000,7500,1,2
51365344,90000,7500,1,2
44973445,90000,7500,1,2
44714484,90000,7500,1,2
14780085,90000,7500,1,2
18615147,90000,7500,1,2
12440757,90000,7500,1,2
14420856,90000,7500,1,2
13034076,90000,7500,1,2
15498937,90000,7500,1,2
22338491,90000,7500,1,2
16923219,90000,7500,1,2
11058714,90000,7500,1,2
8299759,90000,7500,1,2
8195148,90000,7500,1,2
15338271,90000,7500,1,2
6775604,90000,7500,1,2
7519325,90000,7500,1,2
15177210,90000,7500,1,2
12098503,90000,7500,1,2
11650059,90000,7500,1,2
13320275,90000,7500,1,2
11870728,90000,7500,1,2
15807637,90000,7500,1,2
20303521,90000,7500,1,2
7875396,90000,7500,1,2
8186859,90000,7500,1,2
10303544,90000,7500,1,2
320996002,90000,7500,2,2
157685557,90000,7500,2,2
91790403,90000,7500,2,2
94994643,90000,7500,2,2
65053927,90000,7500,2,2
66905731,90000,7500,2,2
30234020,90000,7500,2,2
28813685,90000,7500,2,2
13416990,90000,7500,2,2
13324617,90000,7500,2,2
21395812,90000,7500,2,2
14707845,90000,7500,2,2
10763041,90000,7500,2,2
15247082,90000,7500,2,2
17486931,90000,7500,2,2
19855866,90000,7500,2,2
8603722,90000,7500,2,2
11168850,90000,7500,2,2
12225615,90000,7500,2,2
21377653,90000,7500,2,2
15440513,90000,7500,2,2
11673349,90000,7500,2,2
18270129,90000,7500,2,2
14251111,90000,7500,2,2
16544647,90000,7500,2,2
16098572,90000,7500,2,2
16043701,90000,7500,2,2
13856354,90000,7500,2,2
16519383,90000,7500,2,2
10129062,90000,7500,2,2
9403893,90000,7500,2,2
339936429,90000,7500,3,2
201760931,90000,7500,3,2
143028241,90000,7500,3,2
98703383,90000,7500,3,2
69122685,90000,7500,3,2
25755505,90000,7500,3,2
19862182,90000,7500,3,2
18362896,90000,7500,3,2
13698846,90000,7500,3,2
10665141,90000,7500,3,2
9471397,90000,7500,3,2
13405543,90000,7500,3,2
10591322,90000,7500,3,2
7398530,90000,7500,3,2
9754833,90000,7500,3,2
7597487,90000,7500,3,2
10142088,90000,7500,3,2
9018217,90000,7500,3,2
14183213,90000,7500,3,2
8469110,90000,7500,3,2
12653531,90000,7500,3,2
6435718,90000,7500,3,2
11143981,90000,7500,3,2
7357475,90000,7500,3,2
8026193,90000,7500,3,2
19010298,90000,7500,3,2
15150367,90000,7500,3,2
13910436,90000,7500,3,2
6881004,90000,7500,3,2
4998015,90000,7500,3,2
5820293,90000,7500,3,2
898003163,270000,7500,1,0
151144439,270000,7500,1,0
93402590,270000,7500,1,0
58450438,270000,7500,1,0
57079843,270000,7500,1,0
54632351,270000,7500,1,0
37584784,270000,7500,1,0
20757096,270000,7500,1,0
16741236,270000,7500,1,0
13837801,270000,7500,1,0
17252052,270000,7500,1,0
11757039,270000,7500,1,0
7703677,270000,7500,1,0
13647528,270000,7500,1,0
8437924,270000,7500,1,0
16513462,270000,7500,1,0
17006908,270000,7500,1,0
6426244,270000,7500,1,0
5978985,270000,7500,1,0
8985057,270000,7500,1,0
11907441,270000,7500,1,0
6541513,270000,7500,1,0
8301733,270000,7500,1,0
6613753,270000,7500,1,0
16906640,270000,7500,1,0
10421182,270000,7500,1,0
14784428,270000,7500,1,0
6530066,270000,7500,1,0
6301896,270000,7500,1,0
6066226,270000,7500,1,0
12878937,270000,7500,1,0
887239727,270000,7500,0,1
229939058,270000,7500,0,1
139826370,270000,7500,0,1
93009807,270000,7500,0,1
82116496,270000,7500,0,1
62738285,270000,7500,0,1
27160839,270000,7500,0,1
23713429,270000,7500,0,1
17473509,270000,7500,0,1
17514564,270000,7500,0,1
10892916,270000,7500,0,1
9169408,270000,7500,0,1
7349185,270000,7500,0,1
8244888,270000,7500,0,1
14225846,270000,7500,0,1
9084930,270000,7500,0,1
9276782,270000,7500,0,1
6119913,270000,7500,0,1
8964529,270000,7500,0,1
11535580,270000,7500,0,1
9888655,270000,7500,0,1
12911306,270000,7500,0,1
6230444,270000,7500,0,1
8139093,270000,7500,0,1
6907452,270000,7500,0,1
10309466,270000,7500,0,1
7387477,270000,7500,0,1
6860476,270000,7500,0,1
7692229,270000,7500,0,1
11815463,270000,7500,0,1
14590602,270000,7500,0,1
769379988,270000,7500,1,1
228695179,270000,7500,1,1
131644248,270000,7500,1,1
98170066,270000,7500,1,1
70522887,270000,7500,1,1
31623168,270000,7500,1,1
25844720,270000,7500,1,1
29524247,270000,7500,1,1
16655179,270000,7500,1,1
18695282,270000,7500,1,1
10364731,270000,7500,1,1
8153305,270000,7500,1,1
8633724,270000,7500,1,1
10779226,270000,7500,1,1
10545530,270000,7500,1,1
7248127,270000,7500,1,1
7443137,270000,7500,1,1
6092280,270000,7500,1,1
6614543,270000,7500,1,1
6523749,270000,7500,1,1
18000115,270000,7500,1,1
