time_ns,n,partition_ancestors,node1_consumers,node2_consumers,chunks
11842098906,900000,1,1,1,2000
11139279237,900000,1,1,1,2000
9958249349,900000,1,1,1,2000
9925724161,900000,1,1,1,2000
9153815363,900000,1,1,1,2000
9589922415,900000,1,1,1,2000
4754269491,900000,1,1,0,2000
11024398726,900000,1,1,0,2000
9555638981,900000,1,1,0,2000
9863877632,900000,1,1,0,2000
8885994665,900000,1,1,0,2000
9612823039,900000,1,1,0,2000
4867849279,900000,1,0,1,2000
7799465973,900000,1,0,1,2000
7866782646,900000,1,0,1,2000
7920869839,900000,1,0,1,2000
7846636633,900000,1,0,1,2000
7924886487,900000,1,0,1,2000
9351408452,900000,1,1,1,20000
9876644852,900000,1,1,1,20000
9015839612,900000,1,1,1,20000
9962098621,900000,1,1,1,20000
9485491112,900000,1,1,1,20000
9228133835,900000,1,1,1,20000
5468330250,900000,1,1,0,20000
9983453774,900000,1,1,0,20000
9893922563,900000,1,1,0,20000
9488954314,900000,1,1,0,20000
9567482471,900000,1,1,0,20000
9960880007,900000,1,1,0,20000
4400379204,900000,1,0,1,20000
8577629297,900000,1,0,1,20000
8465822361,900000,1,0,1,20000
8258432201,900000,1,0,1,20000
7411405547,900000,1,0,1,20000
7891417437,900000,1,0,1,20000
6034011841,600000,1,1,1,2000
6030641408,600000,1,1,1,2000
6002505126,600000,1,1,1,2000
6540077673,600000,1,1,1,2000
5975712990,600000,1,1,1,2000
5861646072,600000,1,1,1,2000
3036068918,600000,1,1,0,2000
6360334690,600000,1,1,0,2000
6222090110,600000,1,1,0,2000
5892810928,600000,1,1,0,2000
5963050380,600000,1,1,0,2000
5642777571,600000,1,1,0,2000
2784030987,600000,1,0,1,2000
4909616115,600000,1,0,1,2000
4598644958,600000,1,0,1,2000
4909539138,600000,1,0,1,2000
4505466591,600000,1,0,1,2000
4615131182,600000,1,0,1,2000
5922949022,600000,1,1,1,20000
6290341173,600000,1,1,1,20000
5868497864,600000,1,1,1,20000
5922288594,600000,1,1,1,20000
5601001261,600000,1,1,1,20000
5552461584,600000,1,1,1,20000
3107346975,600000,1,1,0,20000
6892302086,600000,1,1,0,20000
5912429546,600000,1,1,0,20000
5941506533,600000,1,1,0,20000
5814449357,600000,1,1,0,20000
6129008853,600000,1,1,0,20000
3086125250,600000,1,0,1,20000
4853125644,600000,1,0,1,20000
4627073361,600000,1,0,1,20000
5157849776,600000,1,0,1,20000
4724739717,600000,1,0,1,20000
4668373990,600000,1,0,1,20000
2759418302,300000,1,1,1,2000
2912660478,300000,1,1,1,2000
2733918204,300000,1,1,1,2000
2756735141,300000,1,1,1,2000
2713255850,300000,1,1,1,2000
2690542341,300000,1,1,1,2000
1442806862,300000,1,1,0,2000
2834593001,300000,1,1,0,2000
2756210115,300000,1,1,0,2000
2636039075,300000,1,1,0,2000
2819872130,300000,1,1,0,2000
2724290484,300000,1,1,0,2000
1243879495,300000,1,0,1,2000
2270406749,300000,1,0,1,2000
2233139745,300000,1,0,1,2000
2410084691,300000,1,0,1,2000
2162119070,300000,1,0,1,2000
2329536959,300000,1,0,1,2000
2758123105,300000,1,1,1,20000
3129719020,300000,1,1,1,20000
2767986891,300000,1,1,1,20000
2889421152,300000,1,1,1,20000
2720339364,300000,1,1,1,20000
2721143089,300000,1,1,1,20000
1445919519,300000,1,1,0,20000
2759911353,300000,1,1,0,20000
2969533863,300000,1,1,0,20000
2736836246,300000,1,1,0,20000
2847214163,300000,1,1,0,20000
2771176525,300000,1,1,0,20000
1239989957,300000,1,0,1,20000
2371264319,300000,1,0,1,20000
2362949559,300000,1,0,1,20000
2579417150,300000,1,0,1,20000
2244052793,300000,1,0,1,20000
2242214016,300000,1,0,1,20000
4589036185,900000,2,1,1,2000
6472163338,900000,2,1,1,2000
7213587841,900000,2,1,1,2000
5814255532,900000,2,1,1,2000
7121737435,900000,2,1,1,2000
