time_ns,n,split,node1_consumers,node2_consumers
1576275676,90000,7500,1,0
619150199,90000,7500,1,0
301438573,90000,7500,1,0
216641284,90000,7500,1,0
152924396,90000,7500,1,0
101977099,90000,7500,1,0
49271160,90000,7500,1,0
37774267,90000,7500,1,0
28556304,90000,7500,1,0
23024578,90000,7500,1,0
34871621,90000,7500,1,0
21766094,90000,7500,1,0
13492388,90000,7500,1,0
14802981,90000,7500,1,0
11174772,90000,7500,1,0
13029734,90000,7500,1,0
9815624,90000,7500,1,0
8039614,90000,7500,1,0
8125672,90000,7500,1,0
8953477,90000,7500,1,0
7917240,90000,7500,1,0
7672096,90000,7500,1,0
12372069,90000,7500,1,0
9703909,90000,7500,1,0
9289020,90000,7500,1,0
7914477,90000,7500,1,0
7028642,90000,7500,1,0
10428682,90000,7500,1,0
10508422,90000,7500,1,0
9310731,90000,7500,1,0
9983791,90000,7500,1,0
1463840288,90000,7500,0,1
592288192,90000,7500,0,1
352701675,90000,7500,0,1
234942993,90000,7500,0,1
160474513,90000,7500,0,1
102947806,90000,7500,0,1
63931240,90000,7500,0,1
46299828,90000,7500,0,1
39349741,90000,7500,0,1
21469632,90000,7500,0,1
25466543,90000,7500,0,1
16582544,90000,7500,0,1
16578201,90000,7500,0,1
11028712,90000,7500,0,1
13992940,90000,7500,0,1
7251286,90000,7500,0,1
8017114,90000,7500,0,1
13735559,90000,7500,0,1
7889607,90000,7500,0,1
10558557,90000,7500,0,1
10488290,90000,7500,0,1
7028643,90000,7500,0,1
11859675,90000,7500,0,1
4681420,90000,7500,0,1
13054603,90000,7500,0,1
12676426,90000,7500,0,1
6302290,90000,7500,0,1
15076152,90000,7500,0,1
13210532,90000,7500,0,1
5832530,90000,7500,0,1
13064078,90000,7500,0,1
794156101,90000,7500,1,1
362994561,90000,7500,1,1
319430793,90000,7500,1,1
150091228,90000,7500,1,1
161261263,90000,7500,1,1
181319640,90000,7500,1,1
62403926,90000,7500,1,1
74245442,90000,7500,1,1
25104157,90000,7500,1,1
21290018,90000,7500,1,1
29616225,90000,7500,1,1
14587049,90000,7500,1,1
21455815,90000,7500,1,1
9435869,90000,7500,1,1
19440582,90000,7500,1,1
15455514,90000,7500,1,1
15922116,90000,7500,1,1
15389195,90000,7500,1,1
12443126,90000,7500,1,1
9539690,90000,7500,1,1
10619349,90000,7500,1,1
7987112,90000,7500,1,1
9324153,90000,7500,1,1
8448187,90000,7500,1,1
8844524,90000,7500,1,1
6623228,90000,7500,1,1
8586353,90000,7500,1,1
9276782,90000,7500,1,1
6764945,90000,7500,1,1
7706046,90000,7500,1,1
9362049,90000,7500,1,1
707182124,90000,7500,2,1
406332529,90000,7500,2,1
211748670,90000,7500,2,1
165626088,90000,7500,2,1
179148873,90000,7500,2,1
115994119,90000,7500,2,1
114469569,90000,7500,2,1
68033551,90000,7500,2,1
33136271,90000,7500,2,1
68952940,90000,7500,2,1
34480023,90000,7500,2,1
15096680,90000,7500,2,1
17942875,90000,7500,2,1
12848146,90000,7500,2,1
17470747,90000,7500,2,1
12230746,90000,7500,2,1
20475634,90000,7500,2,1
17064937,90000,7500,2,1
25596813,90000,7500,2,1
18921477,90000,7500,2,1
8619513,90000,7500,2,1
20430632,90000,7500,2,1
23368016,90000,7500,2,1
11243065,90000,7500,2,1
16586492,90000,7500,2,1
19205308,90000,7500,2,1
10966340,90000,7500,2,1
18047881,90000,7500,2,1
13055393,90000,7500,2,1
9009926,90000,7500,2,1
9376261,90000,7500,2,1
729020064,90000,7500,1,2
364053693,90000,7500,1,2
298306967,90000,7500,1,2
175048141,90000,7500,1,2
141505665,90000,7500,1,2
124775482,90000,7500,1,2
65636588,90000,7500,1,2
82583493,90000,7500,1,2
29876370,90000,7500,1,2
27862321,90000,7500,1,2
19245573,90000,7500,1,2
25719977,90000,7500,1,2
16302267,90000,7500,1,2
9158750,90000,7500,1,2
22396520,90000,7500,1,2
11835989,90000,7500,1,2
13630159,90000,7500,1,2
12934203,90000,7500,1,2
6873109,90000,7500,1,2
11709273,90000,7500,1,2
7454980,90000,7500,1,2
11903098,90000,7500,1,2
5791476,90000,7500,1,2
10454341,90000,7500,1,2
20267993,90000,7500,1,2
10780411,90000,7500,1,2
10196171,90000,7500,1,2
12614844,90000,7500,1,2
11545054,90000,7500,1,2
14317825,90000,7500,1,2
9319021,90000,7500,1,2
616428352,90000,7500,3,2
263770495,90000,7500,3,2
213694030,90000,7500,3,2
167314462,90000,7500,3,2
141380133,90000,7500,3,2
97363183,90000,7500,3,2
86237756,90000,7500,3,2
49082862,90000,7500,3,2
25913013,90000,7500,3,2
20204831,90000,7500,3,2
23407887,90000,7500,3,2
22438365,90000,7500,3,2
10889364,90000,7500,3,2
12591554,90000,7500,3,2
16933088,90000,7500,3,2
11595188,90000,7500,3,2
14072286,90000,7500,3,2
6308212,90000,7500,3,2
6616122,90000,7500,3,2
6348872,90000,7500,3,2
19207676,90000,7500,3,2
11768486,90000,7500,3,2
5142890,90000,7500,3,2
6046094,90000,7500,3,2
6622833,90000,7500,3,2
13167504,90000,7500,3,2
9383366,90000,7500,3,2
5679759,90000,7500,3,2
5791080,90000,7500,3,2
5679364,90000,7500,3,2
9138223,90000,7500,3,2
542078694,90000,7500,4,2
243841993,90000,7500,4,2
238422774,90000,7500,4,2
163385844,90000,7500,4,2
131533717,90000,7500,4,2
81683053,90000,7500,4,2
78441706,90000,7500,4,2
38077440,90000,7500,4,2
25230479,90000,7500,4,2
21265148,90000,7500,4,2
17964982,90000,7500,4,2
13486863,90000,7500,4,2
12186534,90000,7500,4,2
8910448,90000,7500,4,2
16056333,90000,7500,4,2
12248116,90000,7500,4,2
9010321,90000,7500,4,2
7097330,90000,7500,4,2
17861160,90000,7500,4,2
15018913,90000,7500,4,2
5166576,90000,7500,4,2
14317035,90000,7500,4,2
6352425,90000,7500,4,2
7729731,90000,7500,4,2
16110415,90000,7500,4,2
14740609,90000,7500,4,2
7022326,90000,7500,4,2
4116522,90000,7500,4,2
7703677,90000,7500,4,2
5323688,90000,7500,4,2
10247884,90000,7500,4,2
559870377,90000,7500,2,2
369953727,90000,7500,2,2
228406217,90000,7500,2,2
154913181,90000,7500,2,2
147578997,90000,7500,2,2
117639465,90000,7500,2,2
70752635,90000,7500,2,2
47135527,90000,7500,2,2
30987215,90000,7500,2,2
27536252,90000,7500,2,2
16721893,90000,7500,2,2
16503198,90000,7500,2,2
19505322,90000,7500,2,2
19851919,90000,7500,2,2
8257126,90000,7500,2,2
6817448,90000,7500,2,2
21051979,90000,7500,2,2
10447236,90000,7500,2,2
6079647,90000,7500,2,2
6451114,90000,7500,2,2
5433431,90000,7500,2,2
13639238,90000,7500,2,2
14518756,90000,7500,2,2
6489010,90000,7500,2,2
6524144,90000,7500,2,2
7758548,90000,7500,2,2
8504243,90000,7500,2,2
7020352,90000,7500,2,2
12684322,90000,7500,2,2
7735652,90000,7500,2,2
5266054,90000,7500,2,2
1642858496,270000,7500,1,0
503137921,270000,7500,1,0
349335190,270000,7500,1,0
225997017,270000,7500,1,0
152109225,270000,7500,1,0
105803870,270000,7500,1,0
57260247,270000,7500,1,0
39289738,270000,7500,1,0
28202602,270000,7500,1,0
21089481,270000,7500,1,0
16610572,270000,7500,1,0
19819549,270000,7500,1,0
11542290,270000,7500,1,0
14467043,270000,7500,1,0
16203973,270000,7500,1,0
10878705,270000,7500,1,0
10161038,270000,7500,1,0
6580594,270000,7500,1,0
7331816,270000,7500,1,0
6786657,270000,7500,1,0
13328170,270000,7500,1,0
11081214,270000,7500,1,0
6377294,270000,7500,1,0
6067805,270000,7500,1,0
9876418,270000,7500,1,0
12682348,270000,7500,1,0
9681407,270000,7500,1,0
4505753,270000,7500,1,0
6876662,270000,7500,1,0
9578376,270000,7500,1,0
5802529,270000,7500,1,0
2163078723,270000,7500,0,1
637020439,270000,7500,0,1
350479984,270000,7500,0,1
243278280,270000,7500,0,1
168850460,270000,7500,0,1
102804509,270000,7500,0,1
80169161,270000,7500,0,1
42417790,270000,7500,0,1
35175584,270000,7500,0,1
40078462,270000,7500,0,1
24279510,270000,7500,0,1
20511557,270000,7500,0,1
19074248,270000,7500,0,1
15005096,270000,7500,0,1
14771401,270000,7500,0,1
8669647,270000,7500,0,1
7990270,270000,7500,0,1
11034634,270000,7500,0,1
7521694,270000,7500,0,1
13012365,270000,7500,0,1
7482218,270000,7500,0,1
11171614,270000,7500,0,1
12153374,270000,7500,0,1
5388428,270000,7500,0,1
12364963,270000,7500,0,1
7130885,270000,7500,0,1
10936734,270000,7500,0,1
8743466,270000,7500,0,1
7851710,270000,7500,0,1
6269920,270000,7500,0,1
6014908,270000,7500,0,1
1282464987,270000,7500,1,1
593180736,270000,7500,1,1
244634664,270000,7500,1,1
251011170,270000,7500,1,1
246707532,270000,7500,1,1
108072537,270000,7500,1,1
115965303,270000,7500,1,1
42172646,270000,7500,1,1
28159573,270000,7500,1,1
29998350,270000,7500,1,1
15438144,270000,7500,1,1
20845521,270000,7500,1,1
11499263,270000,7500,1,1
9924183,270000,7500,1,1
10038663,270000,7500,1,1
8951897,270000,7500,1,1
6448745,270000,7500,1,1
6128203,270000,7500,1,1
7266286,270000,7500,1,1
9696013,270000,7500,1,1
6586910,270000,7500,1,1
14414540,270000,7500,1,1
7794076,270000,7500,1,1
9643116,270000,7500,1,1
6582963,270000,7500,1,1
