time_ns,n,split,node1_consumers,node2_consumers
1222441838,90000,7500,1,0
570827639,90000,7500,1,0
326023624,90000,7500,1,0
219727886,90000,7500,1,0
195640623,90000,7500,1,0
92664000,90000,7500,1,0
64402184,90000,7500,1,0
40119516,90000,7500,1,0
28579200,90000,7500,1,0
20417605,90000,7500,1,0
14377433,90000,7500,1,0
13060130,90000,7500,1,0
10648561,90000,7500,1,0
8945976,90000,7500,1,0
7673675,90000,7500,1,0
8510955,90000,7500,1,0
6651256,90000,7500,1,0
6155047,90000,7500,1,0
5690023,90000,7500,1,0
4972356,90000,7500,1,0
5416061,90000,7500,1,0
4797873,90000,7500,1,0
4906826,90000,7500,1,0
6058330,90000,7500,1,0
7348791,90000,7500,1,0
7007720,90000,7500,1,0
6334661,90000,7500,1,0
5532515,90000,7500,1,0
5618177,90000,7500,1,0
14257427,90000,7500,1,0
5837662,90000,7500,1,0
2005901613,90000,7500,0,1
669009548,90000,7500,0,1
357335724,90000,7500,0,1
253751965,90000,7500,0,1
164088511,90000,7500,0,1
110110666,90000,7500,0,1
91097605,90000,7500,0,1
60900692,90000,7500,0,1
41000219,90000,7500,0,1
36183398,90000,7500,0,1
17290342,90000,7500,0,1
26147104,90000,7500,0,1
22255987,90000,7500,0,1
10574347,90000,7500,0,1
9060061,90000,7500,0,1
16123048,90000,7500,0,1
17160073,90000,7500,0,1
14202556,90000,7500,0,1
14644683,90000,7500,0,1
8740702,90000,7500,0,1
9394815,90000,7500,0,1
15515122,90000,7500,0,1
15366693,90000,7500,0,1
16206735,90000,7500,0,1
8765572,90000,7500,0,1
9068746,90000,7500,0,1
14493097,90000,7500,0,1
15488673,90000,7500,0,1
9432316,90000,7500,0,1
6269921,90000,7500,0,1
13083815,90000,7500,0,1
1112669085,90000,7500,1,1
545253328,90000,7500,1,1
204199738,90000,7500,1,1
158930225,90000,7500,1,1
139989799,90000,7500,1,1
100592688,90000,7500,1,1
190792617,90000,7500,1,1
53204911,90000,7500,1,1
64293626,90000,7500,1,1
22503894,90000,7500,1,1
25056786,90000,7500,1,1
24807299,90000,7500,1,1
14846009,90000,7500,1,1
19285838,90000,7500,1,1
17966167,90000,7500,1,1
7723810,90000,7500,1,1
12277723,90000,7500,1,1
11813489,90000,7500,1,1
10655667,90000,7500,1,1
14685343,90000,7500,1,1
8536613,90000,7500,1,1
7051144,90000,7500,1,1
8870972,90000,7500,1,1
6938638,90000,7500,1,1
8559114,90000,7500,1,1
10018530,90000,7500,1,1
11660718,90000,7500,1,1
7721440,90000,7500,1,1
8797548,90000,7500,1,1
9372314,90000,7500,1,1
5939114,90000,7500,1,1
686469241,90000,7500,2,1
490887436,90000,7500,2,1
417759551,90000,7500,2,1
435343592,90000,7500,2,1
165130668,90000,7500,2,1
284882872,90000,7500,2,1
205000304,90000,7500,2,1
42807415,90000,7500,2,1
80551680,90000,7500,2,1
74742835,90000,7500,2,1
25218241,90000,7500,2,1
33591820,90000,7500,2,1
30050852,90000,7500,2,1
16672548,90000,7500,2,1
17903005,90000,7500,2,1
14977463,90000,7500,2,1
9144538,90000,7500,2,1
12383912,90000,7500,2,1
