time_ns,n,split,node1_consumers,node2_consumers
370187028,90000,7500,1,0
198381418,90000,7500,1,0
118054750,90000,7500,1,0
79298723,90000,7500,1,0
50179891,90000,7500,1,0
31696593,90000,7500,1,0
39763841,90000,7500,1,0
18735152,90000,7500,1,0
16689128,90000,7500,1,0
13432386,90000,7500,1,0
16056728,90000,7500,1,0
15111286,90000,7500,1,0
9456791,90000,7500,1,0
8115013,90000,7500,1,0
8537008,90000,7500,1,0
15275110,90000,7500,1,0
7424584,90000,7500,1,0
7326684,90000,7500,1,0
7651964,90000,7500,1,0
7559196,90000,7500,1,0
6616912,90000,7500,1,0
6883767,90000,7500,1,0
7668938,90000,7500,1,0
7836710,90000,7500,1,0
8716623,90000,7500,1,0
7206283,90000,7500,1,0
6130177,90000,7500,1,0
5474880,90000,7500,1,0
6124650,90000,7500,1,0
6538355,90000,7500,1,0
6684415,90000,7500,1,0
356270670,90000,7500,0,1
305426405,90000,7500,0,1
206463667,90000,7500,0,1
143874206,90000,7500,0,1
170281454,90000,7500,0,1
30381264,90000,7500,0,1
64984451,90000,7500,0,1
17807474,90000,7500,0,1
39151573,90000,7500,0,1
15483542,90000,7500,0,1
21230804,90000,7500,0,1
18728441,90000,7500,0,1
17614833,90000,7500,0,1
12333778,90000,7500,0,1
17807080,90000,7500,0,1
13412648,90000,7500,0,1
11724669,90000,7500,0,1
8106328,90000,7500,0,1
11087531,90000,7500,0,1
10483554,90000,7500,0,1
12127320,90000,7500,0,1
10193013,90000,7500,0,1
18555143,90000,7500,0,1
10670273,90000,7500,0,1
10334730,90000,7500,0,1
7288393,90000,7500,0,1
12676032,90000,7500,0,1
8039220,90000,7500,0,1
10446446,90000,7500,0,1
9174540,90000,7500,0,1
12759326,90000,7500,0,1
423939072,90000,7500,1,1
322147903,90000,7500,1,1
210246226,90000,7500,1,1
138858427,90000,7500,1,1
153981160,90000,7500,1,1
35972203,90000,7500,1,1
87898103,90000,7500,1,1
17181389,90000,7500,1,1
31081563,90000,7500,1,1
15163788,90000,7500,1,1
26701737,90000,7500,1,1
12788537,90000,7500,1,1
17138756,90000,7500,1,1
13268167,90000,7500,1,1
14724424,90000,7500,1,1
14305587,90000,7500,1,1
17197969,90000,7500,1,1
12383122,90000,7500,1,1
13157240,90000,7500,1,1
13431991,90000,7500,1,1
16188972,90000,7500,1,1
15427881,90000,7500,1,1
14781664,90000,7500,1,1
11920862,90000,7500,1,1
11515842,90000,7500,1,1
10542372,90000,7500,1,1
11834411,90000,7500,1,1
8729254,90000,7500,1,1
10876337,90000,7500,1,1
