time_ns,n,split,node1_consumers,node2_consumers
1047526731,90000,7500,1,0
272502118,90000,7500,1,0
100957442,90000,7500,1,0
54218647,90000,7500,1,0
37723738,90000,7500,1,0
29646622,90000,7500,1,0
20452344,90000,7500,1,0
15263662,90000,7500,1,0
11834410,90000,7500,1,0
10875152,90000,7500,1,0
20652881,90000,7500,1,0
11857701,90000,7500,1,0
9775359,90000,7500,1,0
8066064,90000,7500,1,0
8280022,90000,7500,1,0
11303857,90000,7500,1,0
7548538,90000,7500,1,0
7476296,90000,7500,1,0
8566615,90000,7500,1,0
9688908,90000,7500,1,0
6485852,90000,7500,1,0
6460194,90000,7500,1,0
14029652,90000,7500,1,0
6616122,90000,7500,1,0
6409270,90000,7500,1,0
6675731,90000,7500,1,0
5779238,90000,7500,1,0
5662785,90000,7500,1,0
6192548,90000,7500,1,0
6369794,90000,7500,1,0
8305286,90000,7500,1,0
1341001877,90000,7500,0,1
368416544,90000,7500,0,1
189170955,90000,7500,0,1
133265909,90000,7500,0,1
69954042,90000,7500,0,1
37539781,90000,7500,0,1
28274843,90000,7500,0,1
24252271,90000,7500,0,1
14480465,90000,7500,0,1
21142773,90000,7500,0,1
18612383,90000,7500,0,1
10653299,90000,7500,0,1
18014326,90000,7500,0,1
16970195,90000,7500,0,1
16863216,90000,7500,0,1
15558545,90000,7500,0,1
8126856,90000,7500,0,1
12209035,90000,7500,0,1
13275272,90000,7500,0,1
15130234,90000,7500,0,1
7671307,90000,7500,0,1
9130328,90000,7500,0,1
16210289,90000,7500,0,1
16408062,90000,7500,0,1
16006200,90000,7500,0,1
8491216,90000,7500,0,1
10108929,90000,7500,0,1
15376563,90000,7500,0,1
14757189,90000,7500,0,1
8739123,90000,7500,0,1
10429471,90000,7500,0,1
402983018,90000,7500,1,1
183370796,90000,7500,1,1
100645585,90000,7500,1,1
78963574,90000,7500,1,1
53103064,90000,7500,1,1
61600596,90000,7500,1,1
50833213,90000,7500,1,1
40043328,90000,7500,1,1
35663503,90000,7500,1,1
21747145,90000,7500,1,1
10616587,90000,7500,1,1
14251111,90000,7500,1,1
13746612,90000,7500,1,1
11976128,90000,7500,1,1
10698696,90000,7500,1,1
41076407,90000,7500,1,1
21229619,90000,7500,1,1
7775918,90000,7500,1,1
8178569,90000,7500,1,1
6994693,90000,7500,1,1
7660253,90000,7500,1,1
8107118,90000,7500,1,1
7198783,90000,7500,1,1
8358184,90000,7500,1,1
7937767,90000,7500,1,1
7031406,90000,7500,1,1
6333081,90000,7500,1,1
7824867,90000,7500,1,1
5959247,90000,7500,1,1
13001706,90000,7500,1,1
6509933,90000,7500,1,1
351727811,90000,7500,2,1
143373654,90000,7500,2,1
122641427,90000,7500,2,1
48395196,90000,7500,2,1
55285674,90000,7500,2,1
64586930,90000,7500,2,1
27638889,90000,7500,2,1
30592854,90000,7500,2,1
30431793,90000,7500,2,1
23105504,90000,7500,2,1
19707043,90000,7500,2,1
17257972,90000,7500,2,1
15543150,90000,7500,2,1
15965540,90000,7500,2,1
13375541,90000,7500,2,1
13146976,90000,7500,2,1
10498949,90000,7500,2,1
12728140,90000,7500,2,1
12358648,90000,7500,2,1
11186220,90000,7500,2,1
9894576,90000,7500,2,1
12968941,90000,7500,2,1
9976291,90000,7500,2,1
11433338,90000,7500,2,1
10146036,90000,7500,2,1
9641142,90000,7500,2,1
8693726,90000,7500,2,1
7473928,90000,7500,2,1
7621172,90000,7500,2,1
6989956,90000,7500,2,1
6672967,90000,7500,2,1
429387898,90000,7500,1,2
147158975,90000,7500,1,2
82340323,90000,7500,1,2
62285105,90000,7500,1,2
73467772,90000,7500,1,2
53121223,90000,7500,1,2
49895271,90000,7500,1,2
29184361,90000,7500,1,2
22016764,90000,7500,1,2
25282192,90000,7500,1,2
17165205,90000,7500,1,2
12326673,90000,7500,1,2
15098654,90000,7500,1,2
9023743,90000,7500,1,2
17713127,90000,7500,1,2
16747947,90000,7500,1,2
22942075,90000,7500,1,2
13949912,90000,7500,1,2
7371687,90000,7500,1,2
7876186,90000,7500,1,2
16111600,90000,7500,1,2
5956878,90000,7500,1,2
11674534,90000,7500,1,2
14272033,90000,7500,1,2
7332211,90000,7500,1,2
9476135,90000,7500,1,2
14840483,90000,7500,1,2
6437692,90000,7500,1,2
10868441,90000,7500,1,2
9144538,90000,7500,1,2
5663574,90000,7500,1,2
333096874,90000,7500,2,2
175575536,90000,7500,2,2
90214535,90000,7500,2,2
68958071,90000,7500,2,2
59311403,90000,7500,2,2
30537193,90000,7500,2,2
23296171,90000,7500,2,2
24410569,90000,7500,2,2
24202927,90000,7500,2,2
19486769,90000,7500,2,2
28745787,90000,7500,2,2
17434429,90000,7500,2,2
34013420,90000,7500,2,2
13127239,90000,7500,2,2
14294535,90000,7500,2,2
10998316,90000,7500,2,2
16714787,90000,7500,2,2
27796397,90000,7500,2,2
12579317,90000,7500,2,2
7033380,90000,7500,2,2
15453145,90000,7500,2,2
10300781,90000,7500,2,2
9912735,90000,7500,2,2
13085394,90000,7500,2,2
15259320,90000,7500,2,2
9880365,90000,7500,2,2
14023731,90000,7500,2,2
9744569,90000,7500,2,2
15360773,90000,7500,2,2
10222224,90000,7500,2,2
10976605,90000,7500,2,2
343561084,90000,7500,3,2
150064779,90000,7500,3,2
92188713,90000,7500,3,2
113913357,90000,7500,3,2
59471674,90000,7500,3,2
54026795,90000,7500,3,2
22704430,90000,7500,3,2
19394001,90000,7500,3,2
35068605,90000,7500,3,2
14210451,90000,7500,3,2
